ecl,name,molweight
10.548,C10:0,172
11.207,C11:0,186
11.305,2OH10:0,172
12.000,C12:0           ,200
12.908,C13:0,214
13.059,2OH12:0,200
13.349,3OH12:0,200
13.529,i14:0,228
13.787,C14:1w5c,228
13.902,C14:0,228
14.558,i15:0,242
14.646,a15:0,242
14.825,C15:1w5c,242
14.941,C15:0,242
15.140,2OH14:0,228
15.416,i16:1w8,256
15.447,3OH14:0,228
15.452,i16:1w6,256
15.610,i16:0,256
15.688,C16 PUFA,256
15.750,C16:1w9 (F),254
15.796,C16:1w7c,254
15.840,C16:1w7t          ,254
15.889,C16:1w5,254
15.954,C16:1w11,254
16.000,C16:0           ,256
16.413,i17:1w7,268
16.447,10Me16:0,256
16.476,i17:1w5,268
16.521,a17:1w7,268
16.571,a17:1w5,268
16.648,i17:0,270
16.733,a17:0,270
16.796,C17:1w8c,268
16.821,C17:1w7c,268
16.869,C17:1w6c,268
16.890,cy17:0,270
16.970,cy17:0 II,270
17.020,C17:0,270
17.240,2OH16:0,256
17.532,br18:1,284
17.572,C18:3,284
17.646,C18 PUFA,284
17.727,C18:2w6c,280
17.783,C18:1w9c,284
17.841,C18:1w7c,282
18.023,C18:0,284
18.884,cy19:0,298
19.000,C19:0           ,298
19.347,C20:4w6,304
19.418,C20:5w3,302
19.511,C20:3,312
19.522,C20:4w3,304
19.582,C20 PUFA,312
19.681,20:2w6c,308
19.723,C20:1w9c,310
19.758,C20?,312
19.948,C20:0,312
20.868,C21:0,326
21.136,C22:6w3,328
21.250,C22:5w3,330
21.519,C22:2w6,336
21.550,C22:1w9c,338
21.751,C22:0,340
22.613,C23:0,354
23.257,C24:1w9c,366
23.415,C24:0 ,368
