ecl,name
12,C12:0
12.903,C13:0
13.054,2OH-C12:0
13.336,3OH-C12:0
13.509,i-C14:0
13.772,C14:1w5c
13.89,C14:0
14.54,i-C15:0
14.63,ai-C15:0
14.809,C15:1w5c
14.93,C15:0
15.13,2OH-C14:0
15.44,3OH-C14:0
15.59,i-C16:0/C16:4w3?
15.67,C16:3w4
15.745,C16:1w9c/C16:3w3
15.785,C16:1w7c
15.829,C16:1w7t/C16:2w4
15.888,C16:1w5c+t
16,C16:0
16.44,10Me-C16:0
16.63,i-C17:0
16.729,ai-C17:0
16.808,C17:1w7c
16.892,c-C17:0
17.01,C17:0
17.235,2OH-C16:0
17.43,10Me-C17:0
17.557,C18:3w6?
17.63,C18:4w3/i-C18:0
17.722,C18:2w6c
17.78,C18:1w9c/2w6t/3w3
17.83,C18:1w7c/C18:1w9t
18.02,C18:0
18.4,10Me-C18:0
18.72,ai-C19:0
18.852,c-C19:0
19,C19:0
19.33,C20:4w6
19.4,C20:5w3
19.504,C20:3w6
19.56,C20:4w3
19.587,i-C20:0
19.67,C20:2w9
19.694,C20:2w6c?
19.71,C20:1w9c
19.74,C20:3w3
19.95,C20:0
20.872,C21:0
21.12,C22:6w3
21.167,C22:4w6
21.24,C22:5w3
21.502,C22:1w11
21.523,C22:2w6
21.554,C22:1w9c
21.76,C22:0
22.613,C23:0
23.266,C24:1w9c
23.45,C24:0
