Filename,Peak Nr,Component,Master Peak,Ref  Name,Start (s),Rt (s),End (s),Width (s),Ampl  44 (mV),Ampl  45 (mV),Ampl  46 (mV),BGD 44 (mV),BGD 45 (mV),BGD 46 (mV),Area All (Vs),Area 44 (Vs),Area 45 (Vs),Area 46 (Vs),rArea All (mVs),rArea 44 (mVs),rArea 45 (mVs),rArea 46 (mVs),R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 45CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 45CO2/44CO2 (‰),R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 46CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 46CO2/44CO2 (‰),R 13C/12C,d 13C/12C (per mil) vs  VPDB,AT% 13C/12C (%),R 18O/16O,d 18O/16O (per mil) vs  VSMOW,AT% 18O/16O (%),R 17O/16O,d 17O/16O
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,1, -, -,CO2 Lab.Tank,40.8,69.9,75.0,34.2,1830,2110,2500,0.1,0.4,1.1,54.830,53.987,0.622,0.221,189956,53987,62229,73739,0.0117619,1.1526712,0.229,-18.606, -,0.0038854,1.3658757,0.180,-33.371, -,0.0109712,-18.695,1.085212,0.0019383,-33.365,0.193455,0.0003953,0.093
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,2, -, -,CO2 Lab.Tank,150.7,191.3,194.9,44.2,1826,2105,2494,0.2,0.4,1.1,73.297,72.169,0.832,0.296,253906,72169,83175,98562,0.0117601,1.1524953,0.077,-18.755, -,0.0038850,1.3657130,0.061,-33.486, -,0.0109694,-18.852,1.085041,0.0019381,-33.480,0.193432,0.0003953,0.031
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,3*, -, -,CO2 Lab.Tank,240.8,271.4,275.0,34.2,1824,2103,2492,0.2,0.4,1.2,54.804,53.961,0.622,0.221,189836,53961,62185,73690,0.0117592,1.1524069,0.000,-18.831, -,0.0038847,1.3656300,0.000,-33.545, -,0.0109686,-18.930,1.084955,0.0019379,-33.539,0.193420,0.0003953,-0.000
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,4, -, -,CO2 Lab.Tank,630.8,671.4,676.8,46.0,1812,2088,2476,0.2,0.4,1.2,72.311,71.199,0.821,0.292,250507,71199,82063,97246,0.0117610,1.1525885,0.158,-18.676, -,0.0038853,1.3658402,0.154,-33.396, -,0.0109703,-18.770,1.085131,0.0019382,-33.390,0.193450,0.0003953,0.079
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,5, -, -,CO2 Lab.Tank,872.0,879.9,894.0,22.0,287,330,385,1.8,2.4,3.6,1.763,1.736,0.020,0.007,6054,1736,1991,2327,0.0117041,1.1470083,-4.685,-23.427, -,0.0038141,1.3407967,-18.185,-51.119, -,0.0109209,-23.190,1.080295,0.0019027,-51.123,0.189907,0.0003916,-9.430
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,6, -, -,CO2 Lab.Tank,1135.3,1143.1,1152.8,17.5,32,45,42,1.5,2.1,3.2,0.216,0.212,0.003,0.001,797,212,300,285,0.0144598,1.4170680,229.659,206.504, -,0.0038277,1.3455987,-14.668,-47.721, -,0.0136754,223.180,1.349091,0.0019084,-48.259,0.190480,0.0003922,-7.888
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,7, -, -,CO2 Lab.Tank,1225.2,1233.9,1246.4,21.2,251,469,338,1.4,1.9,3.1,1.686,1.649,0.031,0.007,6947,1649,3085,2213,0.0190928,1.8711041,623.649,593.075, -,0.0038187,1.3424279,-16.990,-49.965, -,0.0183097,637.692,1.798051,0.0019021,-51.409,0.189850,0.0003915,-9.584
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,8, -, -,CO2 Lab.Tank,1322.0,1335.9,1350.3,28.2,107,172,143,1.4,1.9,3.1,0.915,0.898,0.014,0.004,3491,898,1389,1205,0.0157804,1.5464916,341.967,316.697, -,0.0038168,1.3417428,-17.492,-50.450, -,0.0149973,341.417,1.477572,0.0019024,-51.248,0.189883,0.0003916,-9.497
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,9, -, -,CO2 Lab.Tank,1360.1,1370.9,1386.2,26.1,193,249,259,1.7,2.5,3.5,1.422,1.398,0.019,0.006,5154,1398,1880,1876,0.0137223,1.3447932,166.943,144.969, -,0.0038174,1.3419533,-17.338,-50.301, -,0.0129389,157.309,1.277367,0.0019035,-50.698,0.189992,0.0003917,-9.201
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,10, -, -,CO2 Lab.Tank,1423.4,1431.6,1450.3,26.9,206,260,276,1.7,2.5,3.5,1.480,1.456,0.018,0.006,5247,1456,1838,1952,0.0128841,1.2626464,95.660,75.028, -,0.0038142,1.3408385,-18.154,-51.090, -,0.0121010,82.358,1.195630,0.0019023,-51.324,0.189867,0.0003915,-9.538
