ecl,name
12,C12:0
12.950,C13:0
13.460,i-C14:0
13.635,2-OH C10:0
13.960,C14:0
14.473,i-C15:0/C14:1w5c
14.645,ai-C15:0
14.973,C15:0
15.493,i-C16:0/C15:1w5c
15.777,2-OH C12:0
16.000,C16:0
16.233,C16:1w7t
16.300,10Me-C16:0
16.372,C16:1w7c
16.505,i-C17:0
16.705,ai-C17:0
16.800,C16:2w7
16.870,C16:2w6/phytanic acid
17.040,C17:0/3-OH C12:0
17.110,C16:2w4
17.290,10Me-C17:0
17.364,cy C17:0
17.385,C17:1w7c
17.524,i-C18:0/C16:3w4
17.620,C16:3w3
17.850,C16:4w3
17.929,2-OH C14:0
18.040,C18:0
18.136,C16:4w1
18.200,C18:1w9t
18.250,10Me-C18:0
18.325,C18:1w9c
18.400,C18:1w7c
18.599,C18:2w6t
18.685,ai-C19:0
18.900,C18:2w6c
19.000,C19:0
19.142,3-OH C14:0
19.264,C18:3w6/cy C19:0
19.450,i-C20:0
19.496,C18:3w4
19.620,C18:3w3
19.930,C20:0
19.980,C18:4w3
20.167,2-OH C16:0
20.210,C20:1w9c
20.495,C18:5w3
20.752,C20:2w9
20.813,C21:0
21.010,C20:3w6
21.220,"C18:5(n-3,6,9,12,16)"
21.320,C20:4w6
21.410,C20:3w3
21.699,C22:0
21.797,C20:4w3
21.923,C22:1w11
21.967,C22:1w9c
22.031,C20:5w3
22.521,C23:0/C22:2w6c
23.163,C22:4w6
23.33,C24:0
23.61,C24:1w9c
23.75,C22:5w3
23.97,C22:6w3
28,einddummy
