Filename;Peak Nr;Component;Master Peak;Ref  Name;Start (s);Rt (s);End (s);Width (s);Ampl  44 (mV);Ampl  45 (mV);Ampl  46 (mV);BGD 44 (mV);BGD 45 (mV);BGD 46 (mV);Area All (Vs);Area 44 (Vs);Area 45 (Vs);Area 46 (Vs);rArea All (mVs);rArea 44 (mVs);rArea 45 (mVs);rArea 46 (mVs);R 45CO2/44CO2;rR 45CO2/44CO2;rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 45CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 45CO2/44CO2 (‰);R 46CO2/44CO2;rR 46CO2/44CO2;rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 46CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 46CO2/44CO2 (‰);R 13C/12C;d 13C/12C (per mil) vs  VPDB;AT% 13C/12C (%);R 18O/16O;d 18O/16O (per mil) vs  VSMOW;AT% 18O/16O (%);R 17O/16O;d 17O/16O
53__273439_b4568_FAME BPX70_met.cf;1; -; -;CO2 Lab.Tank;40.8;71.2;75.0;34.2;1411;1639;1952;0.1;0.2;1.0;42.310;41.653;0.484;0.173;147637;41653;48386;57598;0.0117643;1.1616226;0.124;-18.401; -;0.0038850;1.3827996;0.077;-33.470; -;0.0109737;-18.473;1.085456;0.0019381;-33.465;0.193435;0.0003953;0.040
53__273439_b4568_FAME BPX70_met.cf;2; -; -;CO2 Lab.Tank;150.8;191.4;195.2;44.4;1412;1640;1952;0.1;0.2;1.0;56.598;55.720;0.647;0.231;197481;55720;64717;77044;0.0117628;1.1614755;-0.003;-18.526; -;0.0038848;1.3827054;0.009;-33.535; -;0.0109722;-18.604;1.085313;0.0019380;-33.530;0.193422;0.0003953;0.005
53__273439_b4568_FAME BPX70_met.cf;3*; -; -;CO2 Lab.Tank;240.8;271.4;275.2;34.4;1415;1644;1957;0.2;0.3;1.1;42.525;41.865;0.486;0.174;148375;41865;48625;57886;0.0117629;1.1614790;0.000;-18.523; -;0.0038847;1.3826931;0.000;-33.544; -;0.0109722;-18.600;1.085316;0.0019379;-33.539;0.193420;0.0003953;-0.000
53__273439_b4568_FAME BPX70_met.cf;4; -; -;CO2 Lab.Tank;630.8;671.2;675.5;44.7;1404;1630;1941;0.1;0.3;1.0;56.173;55.302;0.642;0.229;196000;55302;64232;76466;0.0117629;1.1614843;0.005;-18.518; -;0.0038848;1.3827155;0.016;-33.528; -;0.0109723;-18.596;1.085321;0.0019380;-33.523;0.193423;0.0003953;0.008
53__273439_b4568_FAME BPX70_met.cf;5; -; -;CO2 Lab.Tank;948.7;956.0;967.0;18.4;592;679;801;2.5;3.0;4.3;2.884;2.840;0.033;0.012;9948;2840;3263;3845;0.0116346;1.1488139;-10.904;-29.225; -;0.0038038;1.3538896;-20.831;-53.677; -;0.0108525;-29.309;1.073601;0.0018976;-53.670;0.189399;0.0003910;-10.803
53__273439_b4568_FAME BPX70_met.cf;6; -; -;CO2 Lab.Tank;1329.2;1337.1;1347.6;18.4;447;503;606;3.9;4.6;6.3;2.328;2.292;0.026;0.009;7991;2292;2591;3108;0.0114465;1.1302394;-26.896;-44.921; -;0.0038090;1.3557372;-19.495;-52.385; -;0.0106638;-46.185;1.055133;0.0019002;-52.341;0.189664;0.0003913;-10.086
53__273439_b4568_FAME BPX70_met.cf;7; -; -;CO2 Lab.Tank;1432.6;1443.6;1451.3;18.8;61;71;83;4.3;5.1;6.9;0.383;0.377;0.004;0.002;1323;377;433;513;0.0116273;1.1480940;-11.524;-29.833; -;0.0038152;1.3579606;-17.887;-50.831; -;0.0108440;-30.069;1.072769;0.0019033;-50.820;0.189968;0.0003916;-9.267
53__273439_b4568_FAME BPX70_met.cf;8; -; -;CO2 Lab.Tank;1470.5;1478.4;1488.2;17.7;66;76;90;4.6;5.4;7.3;0.448;0.441;0.005;0.002;1550;441;509;600;0.0116711;1.1524229;-7.797;-26.175; -;0.0038167;1.3584728;-17.517;-50.473; -;0.0108877;-26.161;1.077044;0.0019040;-50.470;0.190038;0.0003917;-9.078
53__273439_b4568_FAME BPX70_met.cf;9; -; -;CO2 Lab.Tank;1536.2;1542.6;1549.3;13.1;29;33;39;4.6;5.4;7.3;0.166;0.163;0.002;0.001;574;163;188;223;0.0116911;1.1543919;-6.102;-24.511; -;0.0038312;1.3636312;-13.786;-46.868; -;0.0109061;-24.515;1.078846;0.0019112;-46.864;0.190758;0.0003925;-7.138
53__273439_b4568_FAME BPX70_met.cf;10; -; -;CO2 Lab.Tank;1741.2;1752.9;1766.2;25.0;1100;1233;1491;6.2;7.3;9.4;6.360;6.263;0.071;0.025;21867;6263;7113;8491;0.0115019;1.1357162;-22.181;-40.293; -;0.0038091;1.3557793;-19.465;-52.356; -;0.0107193;-41.224;1.060562;0.0019003;-52.322;0.189668;0.0003913;-10.076
